; Industry Codes
; CODE	DESCRIPTION
I0	AGRICULTURE, FORESTRY AND FISHING
I00	AGRICULTURE, FORESTRY AND FISHING
I000	AGRICULTURE, FORESTRY AND FISHING
I0000	AGRICULTURE, FORESTRY AND FISHING
I00000	AGRICULTURE, FORESTRY AND FISHING
I01	AGRICULTURE AND HORTICULTURE
I010	AGRICULTURE AND HORTICULTURE
I0100	AGRICULTURE AND HORTICULTURE
I01000	AGRICULTURE AND HORTICULTURE
I01001	AGRICULTURE
I0100105	CATTLE FARMING
I0100107	EGG PRODUCTION
I0100119	PIG FARMING
I0100121	POULTRY FARMING
I0100124	SHEEP FARMING
I0100128	SUGAR BEET GROWING
I0100132	GRAIN, CEREALS FARMING
I0100136	SUGAR CANE GROWING
I0100137	COFFEE GROWING
I0100138	COTTON GROWING
I0100141	RUBBER GROWING
I0100142	TEA GROWING
I0100144	COCOA GROWING
I0100145	TOBACCO GROWING
I01002	HORTICULTURE
I0100206	FRUIT GROWING
I0100216	VEGETABLE GROWING
I0100223	SOYA GROWING
I02	FORESTRY
I020	FORESTRY
I0200	FORESTRY
I02000	FORESTRY
I03	FISHING
I030	FISHING
I0300	FISHING
I03000	FISHING
I1	ENERGY AND WATER SUPPLY
I10	ENERGY AND WATER SUPPLY
I100	ENERGY AND WATER SUPPLY
I1000	ENERGY AND WATER SUPPLY
I10000	ENERGY AND WATER SUPPLY
I11	COAL MINING
I110	COAL MINING
I1100	COAL MINING
I11000	COAL MINING
I12	COKE PRODUCTION
I120	COKE PRODUCTION
I1200	COKE PRODUCTION
I12000	COKE PRODUCTION
I13	PETROLEUM AND NATURAL GAS
I130	PETROLEUM AND NATURAL GAS
I1300	PETROLEUM AND NATURAL GAS
I13000	PETROLEUM AND NATURAL GAS
I1300002	CRUDE OIL EXPLORATION
I1300003	CRUDE OIL EXTRACTION
I1300013	NATURAL GAS EXPLORATION
I1300014	NATURAL GAS EXTRACTION
I14	PETROLEUM REFINING AND PROCESSING
I140	PETROLEUM REFINING AND PROCESSING
I1400	PETROLEUM REFINING AND PROCESSING
I14000	PETROLEUM REFINING AND PROCESSING
I15	NUCLEAR FUEL
I150	NUCLEAR FUEL
I1500	NUCLEAR FUEL
I15000	NUCLEAR FUEL
I16	ELECTRICITY, GAS UTILITIES
I160	ELECTRICITY, GAS UTILITIES
I1600	ELECTRICITY, GAS UTILITIES
I16000	ELECTRICITY, GAS UTILITIES
I161	ELECTRICITY PRODUCTION
I1610	ELECTRICITY PRODUCTION
I16100	ELECTRICITY PRODUCTION
I16101	ELECTRICITY PRODUCTION
I1610107	HYDRO ELECTRIC POWER
I1610109	NUCLEAR POWER
I162	GAS PRODUCTION
I1620	GAS PRODUCTION
I16200	GAS PRODUCTION
I163	ALTERNATIVE ENERGY PRODUCTION
I1630	ALTERNATIVE ENERGY
I16300	ALTERNATIVE ENERGY
I17	WATER SUPPLY
I170	WATER SUPPLY
I1700	WATER SUPPLY
I17000	WATER SUPPLY
I2	METALS AND MINERALS
I20	METALS AND MINERALS
I200	METALS AND MINERALS
I2000	METALS AND MINERALS
I20000	METALS AND MINERALS
I21	METAL ORE EXTRACTION
I210	METAL ORE EXTRACTION
I2100	METAL ORE EXTRACTION
I21000	METAL ORE EXTRACTION
I22	METAL MANUFACTURING
I220	METAL MANUFACTURING
I2200	METAL MANUFACTURING
I22000	METAL MANUFACTURING
I221	IRON AND STEEL
I2210	IRON AND STEEL
I22100	IRON AND STEEL
I222	STEEL TUBES
I2220	STEEL TUBES
I22200	STEEL TUBES
I223	STEEL COLD ROLLING AND FORMING
I2230	STEEL COLD ROLLING AND FORMING
I22300	STEEL COLD ROLLING AND FORMING
I224	NON FERROUS METALS
I2240	NON FERROUS METALS
I22400	NON FERROUS METALS
I2245	ALUMINIUM AND ALUMINIUM ALLOYS
I22450	ALUMINIUM AND ALUMINIUM ALLOYS
I2246	COPPER AND COPPER ALLOYS
I22460	COPPER AND COPPER ALLOYS
I2247	NON FERROUS METALS
I22470	NON FERROUS METALS
I22471	BASE NON FERROUS METALS
I22472	PRECIOUS METALS
I23	EXTRACTION OF MINERALS
I230	EXTRACTION OF MINERALS
I2300	EXTRACTION OF MINERALS
I23000	EXTRACTION OF MINERALS
I24	MINERAL PRODUCTS
I240	MINERAL PRODUCTS
I2400	MINERAL PRODUCTS
I24000	MINERAL PRODUCTS
I241	STRUCTURAL CLAY PRODUCTS
